2700	398.27997	0.051481405	-5.0873349	-5.0358535	-5281.4749	-4577.8269	-4659.4275	-6607.1705	72.616265	154.74116	-12.945597	170.19322	48.309548	359.57337	0.201182883005237	0.00540000743760308
2800	399.07555	0.051584241	-5.0874155	-5.0358313	-5580.1441	-4995.7083	-4863.414	-6881.31	-2.1640714	96.971403	-99.341862	170.19322	48.309548	359.6449	0.196984284134492	0.00560001185542748
2900	398.1958	0.051470526	-5.0872787	-5.0358081	-5723.3117	-4902.519	-5023.5318	-7243.8843	70.992525	95.102167	-54.615812	170.19322	48.309548	359.71643	0.229445029559225	0.00580001627325188
3000	397.72061	0.051409102	-5.0871933	-5.0357842	-6002.2519	-5241.3216	-5161.9793	-7603.4549	-9.0836307	81.349927	3.9724571	170.19322	48.309548	359.78795	0.24069762177538	0.00599999273016235
3100	398.45748	0.051504349	-5.0872642	-5.0357599	-6125.6057	-5412.7991	-5240.2021	-7723.8157	134.3574	190.0551	-76.523935	170.19322	48.309548	359.85948	0.243916958924671	0.00619999714798675
3200	397.90024	0.051432321	-5.0871673	-5.035735	-6275.8166	-5588.1529	-5304.828	-7934.4688	32.605752	-19.580454	-105.23965	170.19322	48.309548	359.93101	0.250754996128848	0.00640000156581115
3300	398.04507	0.051451042	-5.0871608	-5.0357098	-6589.2034	-5773.3726	-5712.0699	-8282.1678	96.532997	13.240968	55.507073	170.19322	48.309548	360.00254	0.254741681970702	0.00660000598363555
3400	398.02734	0.051448751	-5.0871323	-5.0356836	-6724.6758	-5810.9846	-5761	-8602.0427	57.754888	94.34619	-179.67573	170.19322	48.309548	360.07407	0.283999541256512	0.00680001040145995
3500	398.02487	0.051448431	-5.0871052	-5.0356568	-6949.6137	-6139.379	-5834.8668	-8874.5952	84.560647	179.13957	27.648289	170.19322	48.309548	360.1456	0.292011294778804	0.00700001481928435
3600	397.41672	0.051369821	-5.0869992	-5.0356294	-7042.6978	-6091.5613	-6017.0429	-9019.489	92.780376	126.67741	-55.915968	170.19322	48.309548	360.21713	0.297990669805808	0.00720001923710875
3700	396.58429	0.051262222	-5.0868637	-5.0356014	-7269.4643	-6268.6829	-6317.1459	-9222.564	126.29158	54.884314	-86.725979	170.19322	48.309548	360.28865	0.294347722013683	0.00739999569401922
3800	397.95753	0.051439727	-5.087013	-5.0355733	-7572.737	-6541.0241	-6571.7877	-9605.3993	36.617653	89.945166	-134.4895	170.19322	48.309548	360.36018	0.30626174362572	0.00760000011184362
